tahun,nama_kota,nama_kecamatan,nama_kelurahan,status_perkawinan,jenis_kelamin,jumlah
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Belum Kawin,Laki-laki,1856
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Belum Kawin,Laki-laki,1829
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Belum Kawin,Laki-laki,653
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Belum Kawin,Laki-laki,654
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Belum Kawin,Laki-laki,1487
2018,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Belum Kawin,Laki-laki,860
2018,JAKARTA PUSAT,GAMBIR,GAMBIR,Belum Kawin,Laki-laki,783
2018,JAKARTA PUSAT,GAMBIR,CIDENG,Belum Kawin,Laki-laki,4703
2018,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Belum Kawin,Laki-laki,5806
2018,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Belum Kawin,Laki-laki,5011
2018,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Belum Kawin,Laki-laki,3312
2018,JAKARTA PUSAT,GAMBIR,DURI PULO,Belum Kawin,Laki-laki,6709
2018,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Belum Kawin,Laki-laki,3999
2018,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Belum Kawin,Laki-laki,8728
2018,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Belum Kawin,Laki-laki,7254
2018,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Belum Kawin,Laki-laki,5167
2018,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Belum Kawin,Laki-laki,9473
2018,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Belum Kawin,Laki-laki,6882
2018,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Belum Kawin,Laki-laki,9949
2018,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Belum Kawin,Laki-laki,7663
2018,JAKARTA PUSAT,KEMAYORAN,SERDANG,Belum Kawin,Laki-laki,9862
2018,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Belum Kawin,Laki-laki,6360
2018,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Belum Kawin,Laki-laki,10921
2018,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Belum Kawin,Laki-laki,7339
2018,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Belum Kawin,Laki-laki,9960
2018,JAKARTA PUSAT,S E N E N,SENEN,Belum Kawin,Laki-laki,2372
2018,JAKARTA PUSAT,S E N E N,KENARI,Belum Kawin,Laki-laki,3188
2018,JAKARTA PUSAT,S E N E N,PASEBAN,Belum Kawin,Laki-laki,7807
2018,JAKARTA PUSAT,S E N E N,KRAMAT,Belum Kawin,Laki-laki,10027
2018,JAKARTA PUSAT,S E N E N,KWITANG,Belum Kawin,Laki-laki,5013
2018,JAKARTA PUSAT,S E N E N,BUNGUR,Belum Kawin,Laki-laki,6090
2018,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Belum Kawin,Laki-laki,7306
2018,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Belum Kawin,Laki-laki,11471
2018,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Belum Kawin,Laki-laki,6892
